Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CNv=0,Cyanide Radical,"N=8-7,J=15/2-13/2,F=17/2-15/2",906.593388,-2.0701,195.80692,-1.0886
CNv=0,Cyanide Radical,"N=8-7,J=17/2-15/2,F=17/2-15/2",906.810484,-2.06613,195.89417,-1.0391
C15N,Cyanide Radical,"N=1-0,J=1/2-1/2,F=1-1",109.68961,-5.149,5.2651,-3.618
C15N,Cyanide Radical,"N=1-0,J=1/2-1/2,F=1-0",109.7089859,-5.43513,5.26517,-3.9042
C15N,Cyanide Radical,"N=1-0,J=1/2-1/2,F=0-1",109.733657,-4.96751,5.26722,-3.9138
C15N,Cyanide Radical,"N=1-0,J=3/2-1/2,F=1-1",110.0040915,-5.43155,5.2802,-3.9018
C15N,Cyanide Radical,"N=1-0,J=3/2-1/2,F=2-1",110.02459,-4.96402,5.28118,-3.2125
C15N,Cyanide Radical,"N=2-1,J=3/2-3/2,F=2-2",219.3874932,-4.81307,15.81017,-3.3727
C15N,Cyanide Radical,"N=2-1,J=3/2-3/2,F=2-1",219.4079445,-5.78133,15.81014,-4.341
C15N,Cyanide Radical,"N=2-1,J=3/2-3/2,F=1-2",219.4178571,-5.54166,15.81162,-4.3232
C15N,Cyanide Radical,"N=2-1,J=3/2-3/2,F=1-1",219.4383083,-4.83302,15.8116,-3.6146
C15N,Cyanide Radical,"N=2-1,J=3/2-1/2,F=1-0",219.7087429,-4.23899,15.81163,-3.0211
C15N,Cyanide Radical,"N=2-1,J=3/2-1/2,F=2-1",219.7224877,-4.06182,15.81013,-2.6221
C15N,Cyanide Radical,"N=2-1,J=3/2-1/2,F=1-1",219.7528516,-4.54481,15.81159,-3.327
C15N,Cyanide Radical,"N=2-1,J=5/2-3/2,F=2-2",219.9135891,-4.97721,15.83542,-3.5379
C15N,Cyanide Radical,"N=2-1,J=5/2-3/2,F=3-2",219.93482,-3.98239,15.83643,-2.397
C15N,Cyanide Radical,"N=3-2,J=5/2-5/2,F=3-3",329.0785812,-4.62734,31.62957,-3.236
C15N,Cyanide Radical,"N=3-2,J=5/2-5/2,F=2-3",329.1062791,-5.77928,31.6309,-4.5341
C15N,Cyanide Radical,"N=3-2,J=5/2-5/2,F=2-2",329.1275846,-4.62805,31.63092,-3.3829
C15N,Cyanide Radical,"N=3-2,J=5/2-3/2,F=3-2",329.6259826,-3.45494,31.62966,-2.0643
C15N,Cyanide Radical,"N=3-2,J=5/2-3/2,F=2-2",329.6536805,-4.45868,31.63099,-3.2142
C15N,Cyanide Radical,"N=3-2,J=7/2-5/2,F=3-3",329.8158273,-4.74315,31.66496,-3.3528
C15N,Cyanide Radical,"N=3-2,J=7/2-5/2,F=4-3",329.8376498,-3.42436,31.666,-1.9249
C15N,Cyanide Radical,"N=4-3,J=7/2-7/2,F=4-4",438.7572707,-4.49838,52.72291,-3.1495
C15N,Cyanide Radical,"N=4-3,J=7/2-7/2,F=3-4",438.783848,-5.93091,52.72419,-4.6912
C15N,Cyanide Radical,"N=4-3,J=7/2-7/2,F=3-3",438.8056705,-4.49608,52.72423,-3.2564
C15N,Cyanide Radical,"N=4-3,J=7/2-5/2,F=4-3",439.5163393,-3.05025,52.72294,-1.7021
C15N,Cyanide Radical,"N=4-3,J=7/2-5/2,F=3-3",439.5429166,-4.37528,52.72421,-3.1363
C15N,Cyanide Radical,"N=4-3,J=9/2-7/2,F=4-4",439.7055307,-4.58761,52.76842,-3.2397
C15N,Cyanide Radical,"N=4-3,J=9/2-7/2,F=5-4",439.7276923,-3.03393,52.76948,-1.5989
C15N,Cyanide Radical,"N=5-4,J=9/2-9/2,F=5-5",548.4189,-4.39943,79.08924,-3.0946
C15N,Cyanide Radical,"N=5-4,J=9/2-9/2,F=4-5",548.4448639,-6.04266,79.09048,-4.825
C15N,Cyanide Radical,"N=5-4,J=9/2-9/2,F=4-4",548.4670255,-4.39654,79.09054,-3.1789
C15N,Cyanide Radical,"N=5-4,J=9/2-7/2,F=5-4",549.3893216,-2.7438,79.08934,-1.4397
C15N,Cyanide Radical,"N=5-4,J=9/2-7/2,F=4-4",549.4152855,-4.30232,79.09058,-3.0854
C15N,Cyanide Radical,"N=5-4,J=11/2-9/2,F=5-5",549.5781092,-4.47187,79.14487,-3.168
C15N,Cyanide Radical,"N=5-4,J=11/2-9/2,F=6-5",549.6005086,-2.73361,79.14594,-1.3572
C15N,Cyanide Radical,"N=6-5,J=11/2-11/2,F=6-6",658.0590114,-4.319,110.72762,-3.0627
C15N,Cyanide Radical,"N=6-5,J=11/2-11/2,F=5-6",658.0845898,-6.13123,110.72884,-4.9475
C15N,Cyanide Radical,"N=6-5,J=11/2-11/2,F=5-5",658.1069892,-4.31621,110.72891,-3.1325
C15N,Cyanide Radical,"N=6-5,J=11/2-9/2,F=6-5",659.2406199,-2.49656,110.72764,-1.241
C15N,Cyanide Radical,"N=6-5,J=11/2-9/2,F=5-5",659.2661984,-4.23879,110.72886,-3.0558
C15N,Cyanide Radical,"N=6-5,J=13/2-11/2,F=6-6",659.4291318,-4.37985,110.79337,-3.1245
C15N,Cyanide Radical,"N=6-5,J=13/2-11/2,F=7-6",659.4517063,-2.48958,110.79445,-1.1721
C15N,Cyanide Radical,"N=7-6,J=13/2-13/2,F=7-7",767.6732163,-4.25138,147.63683,-3.0494
C15N,Cyanide Radical,"N=7-6,J=13/2-11/2,F=7-6",769.0659112,-2.28924,147.63677,-1.088
C15N,Cyanide Radical,"N=7-6,J=15/2-13/2,F=8-7",769.2769302,-2.28408,147.7138,-1.0287
C15N,Cyanide Radical,"N=8-7,J=15/2-15/2,F=8-8",877.2571562,-4.19292,189.81524,-3.0517
C15N,Cyanide Radical,"N=8-7,J=15/2-13/2,F=8-7",878.8608701,-2.11058,189.81523,-0.9701
C15N,Cyanide Radical,"N=8-7,J=17/2-15/2,F=9-8",879.0718403,-2.10656,189.90233,-0.918
COv=0,Carbon Monoxide,1-0,115.2712018,-7.14246,5.53211,-5.0105
COv=0,Carbon Monoxide,2-1,230.538,-6.1605,16.59608,-4.1197
COv=0,Carbon Monoxide,3-2,345.7959899,-5.60266,33.19169,-3.6118
COv=0,Carbon Monoxide,4-3,461.0407682,-5.2128,55.31801,-3.2657
COv=0,Carbon Monoxide,5-4,576.2679305,-4.91318,82.97426,-3.0118
COv=0,Carbon Monoxide,6-5,691.4730763,-4.67011,116.15965,-2.8193
COv=0,Carbon Monoxide,7-6,806.651806,-4.46569,154.87252,-2.6716
COv=0,Carbon Monoxide,8-7,921.7997,-4.28954,199.11167,-2.559
13COv=0,Carbon Monoxide,1-0,110.2013541,-7.19843,5.2888,-5.0662
13COv=0,Carbon Monoxide,2-1,220.3986765,-6.21649,15.86618,-4.1749
13COv=0,Carbon Monoxide,3-2,330.5879601,-5.65873,31.73179,-3.6662
13COv=0,Carbon Monoxide,4-3,440.7651668,-5.26869,52.88517,-3.3187
13COv=0,Carbon Monoxide,5-4,550.9263029,-4.96906,79.32525,-3.0632
13COv=0,Carbon Monoxide,6-5,661.0672801,-4.72592,111.05126,-2.8687
13COv=0,Carbon Monoxide,7-6,771.1841376,-4.52147,148.06215,-2.7187
13COv=0,Carbon Monoxide,8-7,881.2728339,-4.34526,190.35628,-2.6034
C18O,Carbon Monoxide,1-0,109.7821734,-7.20302,5.26868,-5.0708
C18O,Carbon Monoxide,2-1,219.5603568,-6.22103,15.8058,-4.1794
C18O,Carbon Monoxide,3-2,329.3305453,-5.66324,31.61116,-3.6706
C18O,Carbon Monoxide,4-3,439.0887631,-5.27331,52.684,-3.3231
C18O,Carbon Monoxide,5-4,548.8309775,-4.9737,79.02355,-3.0675
C18O,Carbon Monoxide,6-5,658.5532728,-4.73052,110.6289,-2.8728
C18O,Carbon Monoxide,7-6,768.251589,-4.52606,147.49899,-2.7226
C18O,Carbon Monoxide,8-7,877.9219561,-4.34987,189.63233,-2.6071
C17O,Carbon Monoxide,J=1-0,112.3592837,-7.1741,5.39236,-5.042
C17O,Carbon Monoxide,J=2-1,224.714385,-6.19213,16.17689,-4.1509
C17O,Carbon Monoxide,J=3-2,337.0611298,-5.6344,32.35323,-3.6426
C17O,Carbon Monoxide,J=4-3,449.3953412,-5.24444,53.92061,-3.2957
C17O,Carbon Monoxide,J=5-4,561.7127845,-4.94474,80.8784,-3.0408
C17O,Carbon Monoxide,J=6-5,674.0093443,-4.70167,113.22567,-2.8472
C17O,Carbon Monoxide,J=7-6,786.2808166,-4.49726,150.96094,-2.6982
C17O,Carbon Monoxide,J=8-7,898.5230217,-4.32112,194.08299,-2.5841
CSv=0,Carbon Monosulfide,2-1,97.98095,-4.77228,7.05355,-2.7212
CSv=0,Carbon Monosulfide,3-2,146.969033,-4.21412,14.10692,-2.2015
CSv=0,Carbon Monosulfide,4-3,195.954226,-3.82353,23.5111,-1.8386
CSv=0,Carbon Monosulfide,5-4,244.9356435,-3.52317,35.26605,-1.5633
CSv=0,Carbon Monosulfide,6-5,293.912244,-3.27905,49.37157,-1.3445
CSv=0,Carbon Monosulfide,7-6,342.883,-3.07357,65.82733,-1.1659
CSv=0,Carbon Monosulfide,8-7,391.84703,-2.89615,84.63285,-1.0176
CSv=0,Carbon Monosulfide,9-8,440.803392,-2.74002,105.78794,-0.8932
CSv=0,Carbon Monosulfide,10-9,489.75104,-2.60065,129.29226,-0.7884
CSv=0,Carbon Monosulfide,11-10,538.68883,-2.47479,155.14505,-0.7001
CSv=0,Carbon Monosulfide,12-11,587.6162402,-2.36005,183.34599,-0.626
CSv=0,Carbon Monosulfide,13-12,636.5318412,-2.25465,213.89457,-0.5644
CSv=0,Carbon Monosulfide,14-13,685.4347644,-2.15725,246.79004,-0.514
CSv=0,Carbon Monosulfide,15-14,734.3239973,-2.0666,282.03177,-0.4736
CSv=0,Carbon Monosulfide,16-15,783.198519,-1.98199,319.61928,-0.4425
CSv=0,Carbon Monosulfide,17-16,832.0572996,-1.90249,359.55137,-0.4198
CSv=0,Carbon Monosulfide,18-17,880.8992998,-1.82768,401.82771,-0.4051
CSv=0,Carbon Monosulfide,19-18,929.7234703,-1.75686,446.44709,-0.3977
C34Sv=0,Carbon Monosulfide,2-1,96.41294,-4.79429,6.24804,-2.7421
C34Sv=0,Carbon Monosulfide,3-2,144.617109,-4.23807,11.80342,-2.2222
C34Sv=0,Carbon Monosulfide,4-3,192.818464,-3.85058,18.97955,-1.8592
C34Sv=0,Carbon Monosulfide,5-4,241.016194,-3.55419,27.77628,-1.5836
C34Sv=0,Carbon Monosulfide,6-5,289.20923,-3.31518,38.19356,-1.3646
C34Sv=0,Carbon Monosulfide,7-6,337.3966901,-3.11566,50.23104,-1.1856
C34Sv=0,Carbon Monosulfide,8-7,385.5775984,-2.94516,63.88849,-1.0368
C34Sv=0,Carbon Monosulfide,9-8,433.7509839,-2.79711,79.16575,-0.912
C34Sv=0,Carbon Monosulfide,10-9,481.9158594,-2.66678,96.06247,-0.8067
C34Sv=0,Carbon Monosulfide,11-10,530.0712208,-2.55092,114.5782,-0.7178
C34Sv=0,Carbon Monosulfide,12-11,578.2160459,-2.44722,134.71279,-0.6431
C34Sv=0,Carbon Monosulfide,13-12,626.3492919,-2.35383,156.46568,-0.5808
C34Sv=0,Carbon Monosulfide,14-13,674.4698941,-2.26939,179.83654,-0.5296
C34Sv=0,Carbon Monosulfide,15-14,722.5767639,-2.19286,204.82478,-0.4885
C34Sv=0,Carbon Monosulfide,16-15,770.6687866,-2.12321,231.42987,-0.4565
C34Sv=0,Carbon Monosulfide,17-16,818.7448201,-2.05974,259.65144,-0.4329
C34Sv=0,Carbon Monosulfide,18-17,866.8036928,-2.00191,289.48873,-0.4172
C34Sv=0,Carbon Monosulfide,19-18,914.8442016,-1.94922,320.94107,-0.4089
13CSv=0,Carbon Monosulfide,2-1,92.494308,-4.84738,6.65859,-2.7959
13CSv=0,Carbon Monosulfide,3-2,138.739335,-4.2892,13.31688,-2.2757
13CSv=0,Carbon Monosulfide,4-3,184.981772,-3.89867,22.19463,-1.9122
13CSv=0,Carbon Monosulfide,5-4,231.220996,-3.59828,33.29138,-1.636
13CSv=0,Carbon Monosulfide,6-5,277.455481,-3.3542,46.60707,-1.4162
13CSv=0,Carbon Monosulfide,7-6,323.684828,-3.14865,62.14137,-1.2363
13CSv=0,Carbon Monosulfide,8-7,369.9078439,-2.97116,79.8941,-1.0865
13CSv=0,Carbon Monosulfide,9-8,416.1234864,-2.81505,99.86477,-0.9605
13CSv=0,Carbon Monosulfide,10-9,462.3306438,-2.67569,122.05303,-0.8539
13CSv=0,Carbon Monosulfide,11-10,508.5281375,-2.54983,146.45841,-0.7636
13CSv=0,Carbon Monosulfide,12-11,554.7147143,-2.43507,173.08026,-0.6873
13CSv=0,Carbon Monosulfide,13-12,600.8890392,-2.32965,201.91823,-0.6233
13CSv=0,Carbon Monosulfide,14-13,647.0496875,-2.23222,232.97154,-0.5703
13CSv=0,Carbon Monosulfide,15-14,693.1951382,-2.14164,266.23954,-0.5272
13CSv=0,Carbon Monosulfide,16-15,739.3237654,-2.05698,301.72128,-0.4931
13CSv=0,Carbon Monosulfide,17-16,785.4338319,-1.97752,339.41596,-0.4673
13CSv=0,Carbon Monosulfide,18-17,831.5234813,-1.90266,379.32249,-0.4492
13CSv=0,Carbon Monosulfide,19-18,877.5907302,-1.83197,421.43991,-0.4384
13CSv=0,Carbon Monosulfide,20-19,923.6334616,-1.76495,465.76711,-0.4344
SO3&Sigma;v=0,Sulfur Monoxide,2(2)-1(1),86.09395,-5.27128,19.31372,-3.7043
SO3&Sigma;v=0,Sulfur Monoxide,3(2)-2(1),99.29987,-4.9402,9.22565,-3.274
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-4(4),100.02964,-5.9571,38.57544,-4.2274
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-1(2),109.25222,-4.95802,21.05114,-3.4962
SO3&Sigma;v=0,Sulfur Monoxide,3(3)-2(2),129.138923,-4.63935,25.5114,-3.1098
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-5(5),136.634799,-5.7487,50.66113,-4.0835
SO3&Sigma;v=0,Sulfur Monoxide,4(3)-3(2),138.1786,-4.491,15.85716,-2.8674
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-2(3),158.9718,-4.36484,28.6806,-2.9291
SO3&Sigma;v=0,Sulfur Monoxide,4(4)-3(3),172.18146,-4.22561,33.77474,-2.7223
SO3&Sigma;v=0,Sulfur Monoxide,16(16)-17(16),173.174405,-7.68655,293.96371,-5.9981
SO3&Sigma;v=0,Sulfur Monoxide,15(15)-16(15),173.7058109,-7.6833,260.93523,-5.9755
SO3&Sigma;v=0,Sulfur Monoxide,14(14)-15(14),174.3270943,-7.67944,229.96807,-5.9573
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-6(6),174.92886,-5.59108,64.89307,-3.9799
SO3&Sigma;v=0,Sulfur Monoxide,13(13)-14(13),175.055974,-7.67496,201.0628,-5.9438
SO3&Sigma;v=0,Sulfur Monoxide,12(12)-13(12),175.9151255,-7.6698,174.21992,-5.9353
SO3&Sigma;v=0,Sulfur Monoxide,11(11)-12(11),176.934014,-7.66379,149.43984,-5.9321
SO3&Sigma;v=0,Sulfur Monoxide,10(10)-11(10),178.1515912,-7.65673,126.72314,-5.9346
SO3&Sigma;v=0,Sulfur Monoxide,5(4)-4(3),178.605403,-4.1451,24.42876,-2.5568
SO3&Sigma;v=0,Sulfur Monoxide,9(9)-10(9),179.620354,-7.64845,106.07018,-5.9434
SO3&Sigma;v=0,Sulfur Monoxide,8(8)-9(8),181.4126187,-7.63871,87.48156,-5.9593
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-8(7),183.6304989,-7.62727,70.95727,-5.9835
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-3(4),206.176005,-3.98729,38.57539,-2.568
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-7(7),214.357039,-5.46636,81.24479,-3.9036
SO3&Sigma;v=0,Sulfur Monoxide,5(5)-4(4),215.220653,-3.91491,44.10371,-2.4348
SO3&Sigma;v=0,Sulfur Monoxide,6(5)-5(4),219.949442,-3.86599,34.9847,-2.3094
SO3&Sigma;v=0,Sulfur Monoxide,1(2)-2(1),236.4523254,-5.83998,15.8079,-4.9233
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-3(2),246.4046867,-5.98828,21.05116,-4.8749
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-4(5),251.82577,-3.70698,50.66106,-2.3033
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-8(8),254.5735004,-5.36413,99.69898,-3.847
SO3&Sigma;v=0,Sulfur Monoxide,6(6)-5(5),258.255813,-3.66526,56.49798,-2.2082
SO3&Sigma;v=0,Sulfur Monoxide,7(6)-6(5),261.843684,-3.63319,47.55111,-2.1069
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-4(3),267.1978968,-6.13921,28.6805,-4.9252
SO3&Sigma;v=0,Sulfur Monoxide,1(1)-1(0),286.340207,-4.8446,15.18186,-4.0084
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-5(4),294.7685694,-6.26515,38.57543,-4.998
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-9(9),295.3553053,-5.27819,120.24494,-3.8056
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-5(6),296.550045,-3.48239,64.89314,-2.0962
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-6(6),301.286124,-3.45635,70.95723,-2.0235
SO3&Sigma;v=0,Sulfur Monoxide,8(7)-7(6),304.077844,-3.43416,62.14451,-1.9381
SO3&Sigma;v=0,Sulfur Monoxide,2(2)-2(1),309.502444,-4.83949,19.31373,-3.8204
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-6(5),326.6449266,-6.36832,50.66106,-5.075
SO3&Sigma;v=0,Sulfur Monoxide,1(2)-0(1),329.385477,-4.83817,15.80792,-4.0622
SO3&Sigma;v=0,Sulfur Monoxide,10(11)-10(10),336.5533459,-5.20443,142.87507,-3.7764
SO3&Sigma;v=0,Sulfur Monoxide,3(3)-3(2),339.341459,-4.82872,25.5114,-3.7114
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-6(7),340.714155,-3.29383,81.24468,-1.9279
SO3&Sigma;v=0,Sulfur Monoxide,8(8)-7(7),344.310612,-3.27672,87.48155,-1.8699
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-2(1),345.7045553,-6.8571,21.05115,-5.8873
SO3&Sigma;v=0,Sulfur Monoxide,9(8)-8(7),346.528481,-3.26062,78.7751,-1.7956
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-7(6),361.3512155,-6.45373,64.89318,-5.1511
SO3&Sigma;v=0,Sulfur Monoxide,4(4)-4(3),373.3442892,-4.81312,33.7747,-3.6389
SO3&Sigma;v=0,Sulfur Monoxide,11(12)-11(11),378.0646926,-5.14001,167.58401,-3.7573
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-7(8),384.5270956,-3.13087,99.69896,-1.7883
SO3&Sigma;v=0,Sulfur Monoxide,9(9)-8(8),387.328654,-3.119,106.07019,-1.7404
SO3&Sigma;v=0,Sulfur Monoxide,10(9)-9(8),389.1209186,-3.1069,97.44993,-1.6743
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-8(7),397.9875318,-6.52596,81.24473,-5.2255
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-3(2),405.3765436,-6.78793,28.68057,-5.7501
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-1(0),408.636195,-4.79198,21.05111,-3.8926
SO3&Sigma;v=0,Sulfur Monoxide,5(5)-5(4),409.9595775,-4.79437,44.1037,-3.5873
SO3&Sigma;v=0,Sulfur Monoxide,12(13)-12(12),419.8162134,-5.08292,194.36781,-3.7468
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-8(9),428.1104589,-2.98693,120.24499,-1.6709
SO3&Sigma;v=0,Sulfur Monoxide,10(10)-9(9),430.339338,-2.97854,126.72311,-1.6306
SO3&Sigma;v=0,Sulfur Monoxide,11(10)-10(9),431.8081008,-2.9692,118.17322,-1.5708
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-9(8),435.9861191,-6.58803,99.69909,-5.2982
SO3&Sigma;v=0,Sulfur Monoxide,6(6)-6(5),448.2659932,-4.77373,56.49792,-3.5495
SO3&Sigma;v=0,Sulfur Monoxide,13(14)-13(13),461.7545957,-5.03189,223.22348,-3.744
SO3&Sigma;v=0,Sulfur Monoxide,10(11)-9(10),471.5373786,-2.858,142.87504,-1.5717
SO3&Sigma;v=0,Sulfur Monoxide,11(11)-10(10),473.3418641,-2.85181,149.43984,-1.5371
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-4(3),473.3739366,-6.72059,38.57534,-5.6529
SO3&Sigma;v=0,Sulfur Monoxide,12(11)-11(10),474.5594412,-2.84444,140.94839,-1.4823
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-10(9),474.9756593,-6.64246,120.24492,-5.3699
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-7(6),487.7083564,-4.75231,70.95734,-3.5221
SO3&Sigma;v=0,Sulfur Monoxide,14(15)-14(14),503.8400719,-4.98576,254.14855,-3.748
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-2(1),504.6764122,-4.78876,28.68055,-3.8426
